Time[s], SDA, SCL
0.0391025, 0, 1
0.039103, 1, 1
0.039128, 1, 0
0.03921, 1, 1
0.0392365, 1, 0
0.0393185, 1, 1
0.039319, 0, 1
0.0393455, 0, 0
0.039455, 0, 1
0.039481, 0, 0
0.0395905, 0, 1
0.0396165, 0, 0
0.0397255, 0, 1
0.039752, 0, 0
0.039861, 0, 1
0.0398875, 0, 0
0.0399965, 0, 1
0.040023, 0, 0
0.040132, 0, 1
0.0401585, 0, 0
0.0402675, 0, 1
0.040294, 0, 0
0.0407205, 1, 0
0.0442785, 1, 1
0.044305, 1, 0
0.044387, 1, 1
0.0443895, 0, 1
0.0444145, 0, 0
0.0445235, 0, 1
0.0445245, 1, 1
0.044549, 1, 0
0.044631, 1, 1
0.044634, 0, 1
0.044658, 0, 0
0.0447675, 0, 1
0.0447935, 0, 0
0.044903, 0, 1
0.0449045, 1, 1
0.0449285, 1, 0
0.0450105, 1, 1
0.045037, 1, 0
0.045119, 1, 1
0.045145, 1, 0
0.045227, 1, 1
0.0452535, 1, 0
0.0453355, 1, 1
0.045336, 0, 1
0.045363, 0, 0
0.045472, 0, 1
0.0454985, 0, 0
0.0456075, 0, 1
0.0456095, 1, 1
0.045633, 1, 0
0.045715, 1, 1
0.0457415, 1, 0
0.0458235, 1, 1
0.0458255, 0, 1
0.0458505, 0, 0
0.0459595, 0, 1
0.045986, 0, 0
0.046095, 0, 1
0.0461215, 0, 0
0.0462305, 0, 1
0.046257, 0, 0
0.0463665, 0, 1
0.0463925, 0, 0
0.046502, 0, 1
0.046528, 0, 0
0.0466375, 0, 1
0.0466635, 0, 0
0.046773, 0, 1
0.046799, 0, 0
0.0473145, 1, 0
0.050785, 1, 1
0.0508115, 1, 0
0.0508935, 1, 1
0.050896, 0, 1
0.0509205, 0, 0
0.05103, 0, 1
0.051031, 1, 1
0.0510555, 1, 0
0.0511375, 1, 1
0.0511405, 0, 1
0.0511645, 0, 0
0.051274, 0, 1
0.0513, 0, 0
0.0514095, 0, 1
0.051411, 1, 1
0.051435, 1, 0
0.051517, 1, 1
0.051543, 1, 0
0.0516255, 1, 1
0.0516515, 1, 0
0.0517335, 1, 1
0.05176, 1, 0
0.051842, 1, 1
0.0518425, 0, 1
0.0518695, 0, 0
0.0519785, 0, 1
0.052005, 0, 0
0.052114, 0, 1
0.052116, 1, 1
0.0521395, 1, 0
0.0522215, 1, 1
0.052248, 1, 0
0.05233, 1, 1
0.0523315, 0, 1
0.052357, 0, 0
0.0524665, 0, 1
0.052493, 0, 0
0.052602, 0, 1
0.0526285, 0, 0
0.0527375, 0, 1
0.052764, 0, 0
0.052873, 0, 1
0.0528995, 0, 0
0.0530085, 0, 1
0.053035, 0, 0
0.053144, 0, 1
0.0531705, 0, 0
0.0532795, 0, 1
0.053306, 0, 0
0.053907, 1, 0
0.057291, 1, 1
0.0573175, 1, 0
0.0573995, 1, 1
0.0574005, 0, 1
0.057427, 0, 0
0.057536, 0, 1
0.0575385, 1, 1
0.0575615, 1, 0
0.0576435, 1, 1
0.057645, 0, 1
0.0576705, 0, 0
0.05778, 0, 1
0.057806, 0, 0
0.0579155, 0, 1
0.0579185, 1, 1
0.057941, 1, 0
0.058023, 1, 1
0.0580495, 1, 0
0.0581315, 1, 1
0.0581575, 1, 0
0.0582395, 1, 1
0.058266, 1, 0
0.058348, 1, 1
0.0583495, 0, 1
0.0583755, 0, 0
0.0584845, 0, 1
0.058511, 0, 0
0.05862, 0, 1
0.058623, 1, 1
0.0586455, 1, 0
0.0587275, 1, 1
0.058754, 1, 0
0.058836, 1, 1
0.0588385, 0, 1
0.058863, 0, 0
0.058972, 0, 1
0.0589985, 0, 0
0.0591075, 0, 1
0.059134, 0, 0
0.059243, 0, 1
0.0592695, 0, 0
0.0593785, 0, 1
0.059405, 0, 0
0.0595145, 0, 1
0.0595405, 0, 0
0.05965, 0, 1
0.059676, 0, 0
0.0597855, 0, 1
0.0598115, 0, 0
0.060086, 1, 0
0.0637965, 1, 1
0.063823, 1, 0
0.063905, 1, 1
0.063907, 0, 1
0.063932, 0, 0
0.064041, 0, 1
0.0640425, 1, 1
0.0640665, 1, 0
0.0641485, 1, 1
0.0641515, 0, 1
0.064176, 0, 0
0.064285, 0, 1
0.0643115, 0, 0
0.0644205, 0, 1
0.064422, 1, 1
0.064446, 1, 0
0.064528, 1, 1
0.0645545, 1, 0
0.0646365, 1, 1
0.064663, 1, 0
0.064745, 1, 1
0.0647715, 1, 0
0.0648535, 1, 1
0.0648565, 0, 1
0.0648805, 0, 0
0.06499, 0, 1
0.0650165, 0, 0
0.0651255, 0, 1
0.065127, 1, 1
0.065151, 1, 0
0.065233, 1, 1
0.0652595, 1, 0
0.0653415, 1, 1
0.0653425, 0, 1
0.0653685, 0, 0
0.0654775, 0, 1
0.065504, 0, 0
0.0656135, 0, 1
0.0656395, 0, 0
0.065749, 0, 1
0.065775, 0, 0
0.0658845, 0, 1
0.0659105, 0, 0
0.06602, 0, 1
0.0660465, 0, 0
0.0661555, 0, 1
0.066182, 0, 0
0.066291, 0, 1
0.0663175, 0, 0
0.066676, 1, 0
0.070303, 1, 1
0.0703295, 1, 0
0.0704115, 1, 1
0.0704135, 0, 1
0.0704385, 0, 0
0.070548, 0, 1
0.070549, 1, 1
0.0705735, 1, 0
0.0706555, 1, 1
0.070658, 0, 1
0.0706825, 0, 0
0.0707915, 0, 1
0.070818, 0, 0
0.070927, 0, 1
0.0709285, 1, 1
0.0709525, 1, 0
0.0710345, 1, 1
0.071061, 1, 0
0.071143, 1, 1
0.0711695, 1, 0
0.0712515, 1, 1
0.071278, 1, 0
0.07136, 1, 1
0.071363, 0, 1
0.071387, 0, 0
0.0714965, 0, 1
0.0715225, 0, 0
0.071632, 0, 1
0.0716335, 1, 1
0.0716575, 1, 0
0.0717395, 1, 1
0.0717655, 1, 0
0.0718475, 1, 1
0.071849, 0, 1
0.071875, 0, 0
0.071984, 0, 1
0.0720105, 0, 0
0.0721195, 0, 1
0.072146, 0, 0
0.072255, 0, 1
0.0722815, 0, 0
0.0723905, 0, 1
0.072417, 0, 0
0.072526, 0, 1
0.0725525, 0, 0
0.0726615, 0, 1
0.072688, 0, 0
0.072797, 0, 1
0.0728235, 0, 0
0.073267, 1, 0
0.0768075, 1, 1
0.076834, 1, 0
0.076916, 1, 1
0.0769185, 0, 1
0.076943, 0, 0
0.0770525, 0, 1
0.0770535, 1, 1
0.077078, 1, 0
0.07716, 1, 1
0.077163, 0, 1
0.077187, 0, 0
0.077296, 0, 1
0.0773225, 0, 0
0.0774315, 0, 1
0.0774335, 1, 1
0.077457, 1, 0
0.077539, 1, 1
0.0775655, 1, 0
0.0776475, 1, 1
0.077674, 1, 0
0.077756, 1, 1
0.0777825, 1, 0
0.0778645, 1, 1
0.077865, 0, 1
0.0778915, 0, 0
0.0780005, 0, 1
0.078027, 0, 0
0.078136, 0, 1
0.078139, 1, 1
0.0781615, 1, 0
0.0782435, 1, 1
0.07827, 1, 0
0.078352, 1, 1
0.0783545, 0, 1
0.0783795, 0, 0
0.0784885, 0, 1
0.078515, 0, 0
0.078624, 0, 1
0.0786505, 0, 0
0.0787595, 0, 1
0.078786, 0, 0
0.078895, 0, 1
0.0789215, 0, 0
0.0790305, 0, 1
0.079057, 0, 0
0.079166, 0, 1
0.0791925, 0, 0
0.0793015, 0, 1
0.079328, 0, 0
0.07986, 1, 0
0.0833125, 1, 1
0.083339, 1, 0
0.083421, 1, 1
0.083423, 0, 1
0.0834485, 0, 0
0.0835575, 0, 1
0.0835585, 1, 1
0.083583, 1, 0
0.083665, 1, 1
0.083668, 0, 1
0.0836925, 0, 0
0.0838015, 0, 1
0.083828, 0, 0
0.083937, 0, 1
0.083938, 1, 1
0.0839625, 1, 0
0.0840445, 1, 1
0.084071, 1, 0
0.084153, 1, 1
0.0841795, 1, 0
0.0842615, 1, 1
0.084288, 1, 0
0.08437, 1, 1
0.0843725, 0, 1
0.084397, 0, 0
0.084506, 0, 1
0.0845325, 0, 0
0.0846415, 0, 1
0.0846435, 1, 1
0.084667, 1, 0
0.084749, 1, 1
0.0847755, 1, 0
0.0848575, 1, 1
0.084859, 0, 1
0.084885, 0, 0
0.084994, 0, 1
0.0850205, 0, 0
0.0851295, 0, 1
0.085156, 0, 0
0.085265, 0, 1
0.0852915, 0, 0
0.0854005, 0, 1
0.085427, 0, 0
0.085536, 0, 1
0.0855625, 0, 0
0.0856715, 0, 1
0.085698, 0, 0
0.0858075, 0, 1
0.0858335, 0, 0
0.0860425, 1, 0
0.089819, 1, 1
0.0898455, 1, 0
0.0899275, 1, 1
0.08993, 0, 1
0.089955, 0, 0
0.090064, 0, 1
0.0900655, 1, 1
0.0900895, 1, 0
0.0901715, 1, 1
0.090175, 0, 1
0.0901985, 0, 0
0.090308, 0, 1
0.090334, 0, 0
0.0904435, 0, 1
0.0904455, 1, 1
0.090469, 1, 0
0.090551, 1, 1
0.090577, 1, 0
0.090659, 1, 1
0.0906855, 1, 0
0.0907675, 1, 1
0.090794, 1, 0
0.090876, 1, 1
0.0908765, 0, 1
0.090903, 0, 0
0.0910125, 0, 1
0.0910385, 0, 0
0.091148, 0, 1
0.0911505, 1, 1
0.0911735, 1, 0
0.0912555, 1, 1
0.0912815, 1, 0
0.0913635, 1, 1
0.091366, 0, 1
0.091391, 0, 0
0.0915, 0, 1
0.0915265, 0, 0
0.0916355, 0, 1
0.091662, 0, 0
0.091771, 0, 1
0.0917975, 0, 0
0.0919065, 0, 1
0.091933, 0, 0
0.092042, 0, 1
0.0920685, 0, 0
0.0921775, 0, 1
0.092204, 0, 0
0.092313, 0, 1
0.0923395, 0, 0
0.0926355, 1, 0
0.099795, 1, 1
0.0998215, 1, 0
0.0999035, 1, 1
0.099907, 0, 1
0.099931, 0, 0
0.10004, 0, 1
0.1000425, 1, 1
0.1000655, 1, 0
0.1001475, 1, 1
0.1001485, 0, 1
0.100175, 0, 0
0.100284, 0, 1
0.1003105, 0, 0
0.1004195, 0, 1
0.100422, 1, 1
0.100445, 1, 0
0.100527, 1, 1
0.1005535, 1, 0
0.1006355, 1, 1
0.100662, 1, 0
0.100744, 1, 1
0.1007705, 1, 0
0.1008525, 1, 1
0.100856, 0, 1
0.10088, 0, 0
0.100989, 0, 1
0.1010155, 0, 0
0.1011245, 0, 1
0.101126, 1, 1
0.10115, 1, 0
0.101232, 1, 1
0.1012585, 1, 0
0.1013405, 1, 1
0.1013415, 0, 1
0.101368, 0, 0
0.101477, 0, 1
0.1015035, 0, 0
0.1016125, 0, 1
